Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB7.1; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; InfoPath.2; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729; AskTbFWV5/5.12.2.16749; 978803803)|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; IDEOS X5 Build/HuaweiU8800Pro) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.3.26550/26.984; U; en) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.21648/2644; U; en) Presto/2.2.0Opera Mini/att/4.2.15814; U; en|
NokiaC2-01/5.0 (10.50) Profile/MIDP-2.1 Configuration/CLDC-1.1 nokiac2-01/UC Browser7.8.0.95/70/350|http://nds1.nds.nokia.com/uaprof/NC2-01r100.xml
Dalvik/1.2.0 (Linux; U; Android 2.2; Liquid Metal Build/MASTER)|http://support.acer.com/UAprofile/Acer_S100_Profile.xml
Nokia6630/1.0 (4.03.38) SymbianOS/8.0 Series60/2.6 Profile/MIDP-2.0 Configuration/CLDC-1.1/UC Browser7.9.0.102/27/351/UCWEB|http://nds1.nds.nokia.com/uaprof/N6630r100.xml
BlackBerry9520/5.0.0.973 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/136|http://www.blackberry.net/go/mobile/profiles/uaprof/9520_edge/5.0.0.rdf
Mozilla/5.0 (BlackBerry; U; BlackBerry 9350; en-US) AppleWebKit/534.11  (KHTML, like Gecko) Version/7.0.0.400 Mobile Safari/534.11|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; ar_AR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0;FBBV/4000.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/Carrier;FBID/phone;FBLC/ar_AR;FBSF/2.0]|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.1.24009/26.984; U; pl) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.2.1; fr-fr; GT-I9000 Build/FROYO) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.samsungmobile.com/uaprof/GT-i9000.xml
Mozilla/5.0 (Linux; U; Android 2.3.4; es-us; ADR6330VW Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 3.2.1; es-es; Transformer TF101 Build/HTK75) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13|
Mozilla/5.0 (SymbianOS/9.3; Series60/3.2 NokiaE5-00.2/042.014; Profile/MIDP-2.1 Configuration/CLDC-1.1 ) AppleWebKit/525 (KHTML, like Gecko) Version/3.0 BrowserNG/7.2.6.2|
BlackBerry9000/5.0.0.1079 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/152|http://www.blackberry.net/go/mobile/profiles/uaprof/9000/4.6.0.rdf
Opera/9.80 (Android; Opera Mini/5.1.21927/26.984; U; en) Presto/2.8.119 Version/10.54|
Dalvik/1.2.0 (Linux; U; Android 2.2.2; XT800 Build/TITA_M2_17.19.0)|
Mozilla/5.0 (Linux; U; Android 2.3.3; da-dk; Desire_A8181 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG88/ua-profile.xml
Opera/9.80 (iPad; Opera Mini/6.13548/26.984; U; en) Presto/2.8.119 Version/10.54n/10.54|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_1_3 like Mac OS X; ar) AppleWebKit/528.18 (KHTML, like Gecko) Mobile/7E18 Twitter for iPhone|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.2;FBSS/1; FBCR/AT&T;FBID/phone;FBLC/en_US;FBSF/1.0]|
BlackBerry8300/4.5.0.176 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/100|http://www.blackberry.net/go/mobile/profiles/uaprof/8300/4.2.2.rdf
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/SingTel;FBID/phone;FBLC/en_US;FBSF/2.0]|
Dalvik/1.2.0 (Linux; U; Android 2.2; C510a Build/CN0BB411D7)|http://wap.sonyericsson.com/UAprof/C510aR101.xml
Mozilla/4.0 (compatible; Nokia Podcasting; SymbianOS; Nokia6720c/012.008)|
Opera/9.80 (Android; Opera Mini/5.1.22460/26.984; U; pl) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3;FBSS/2; FBCR/T-MobileUK;FBID/phone;FBLC/en_US;FBSF/2.0]|
Opera/9.80 (Android 2.2; Linux; Opera Tablet/ADR-1110071847; U; es-ES) Presto/2.9.201 Version/11.50|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.3.13337/26.984; U; en) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (BlackBerry; U; BlackBerry 9810; en-US) AppleWebKit/534.11  (KHTML, like Gecko) Version/7.0.0.254 Mobile Safari/534.11|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[9857917895] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; es-us; DROID Pro Build/4.5.1-110-VNS-22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.2.0 (Linux; U; Android 2.2.2; Nexus S Build/OLYKT_U4_1.15.0)|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; HTC Glacier Build/GRJ90)|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-us; ADR6300 Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.4/26.984; U; en) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/9.80/26.984; U; es) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (BlackBerry; U; BlackBerry 9350; en-US) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.0.0.400 Mobile Safari/534.11+|
Mozilla/5.0 (Linux; U; Android 2.3.4; es-us; SPH-D600 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.4; Orange Monte Carlo Build/OAT_B05)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.4; LG Optimus 2X Build/GRJ22)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Opera/9.80 (Android 3.2.2; Linux; Opera Tablet/ADR-1110071847; U; en) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 4_3_4 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPod3,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/4.3.4;FBSS/1; FBCR/;FBID/phone;FBLC/de_DE;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.1-update1-v1.0; en-gb; HTC Hero Build/ERE27) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|http://www.htcmms.com.tw/Android/TMO/Hero/ua-profile.xml
Mozilla/5.0 (BlackBerry; U; BlackBerry 9300; zh-CN) AppleWebKit/534.8+ (KHTML, like Gecko) Version/6.0.0.668 Mobile Safari/534.8+|http://www.blackberry.net/go/mobile/profiles/uaprof/9300_umts/6.0.0.rdf
Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; HTC; Radar; Orange)|http://device.sprintpcs.com/HTC/SPS511BK/latest
SAMSUNG-GT-B3210/1.0 Release/10.19.2009 Browser/NetFront3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1/*MzU4NjI4MDM2OTA2NjA2|http://wap.samsungmobile.com/uaprof/GT-B3210UAProf.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/T-MobileUK;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.2.1; fr-fr; GT-S5660 Build/FROYO) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|
Mozilla/5.0 (Linux; U; Android 2.1-update1; fr-fr; GT-I5700 Build/ECLAIR) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.samsungmobile.com/uaprof/GT-i5700.xml
NokiaC1-01/2.0 (05.45) Profile/MIDP-2.1 Configuration/CLDC-1.1 Opera/9.60 (J2ME/MIDP;Opera Mini/4.2.13337Mod.by.Iyke./503; U; en)Presto/2.2.0 UNTRUSTED/1.0|
Dalvik/1.2.0 (Linux; U; Android 2.2.1; MB300 Build/FRG83)|http://uaprof.motorola.com/phoneconfig/MotoMB300/profile/MotoMB300.rdf
Mozilla/5.0 (Linux; U; Android 3.2; fr-fr; A501 Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13|
Dalvik/1.2.0 (Linux; U; Android 2.2.1; SHW-M180L Build/FROYO)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Nokia6700s/033.014 (SymbianOS/9.3; U; Series60/3.2; Mozilla/5.0; Profile/MIDP-2.1 Configuration/CLDC-1.1) AppleWebKit/525 (KHTML,like Gecko) Safari/525|http://nds1.nds.nokia.com/uaprof/N6700sr100.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; sv_SE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/1; FBCR/TELIA;FBID/phone;FBLC/sv_SE;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.2; ko-kr; LG-E720 Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 MMS/LG-Android-MMS-V1.0/1.2|
Mozilla/5.0 (Linux; U; Android 2.3.4; zh-hk; GT-S5830 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[8648387408] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.17766/26.984; U; en) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.17766/26.984; U; en) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 1.6; en-us; SonyEricssonX10a Build/R2CA016) AppleWebKit/528.5  (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1 androidAppVersion/2.1 AndroidWebkitWrapper|http://wap.sonyericsson.com/UAprof/X10aR101.xml
Mozilla/5.0 (Linux; U; Android 2.3.7; en-us; Incredible 2 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.2.0 (Linux; U; Android 2.2.1; SCH-i909 Build/FROYO)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; fr-fr; Droid Build/FRG83D) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 4_2_1 like Mac OS X; es_ES) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPod2,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/4.2.1;FBSS/1; FBCR/;FBID/phone;FBLC/es_ES;FBSF/1.0]|
BlackBerry9530/5.0.0.191 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/105|http://www.blackberry.net/go/mobile/profiles/uaprof/9530_umts/4.7.0.rdf
BlackBerry8310/4.5.0.176 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 UP.Browser/5.0.3.3|http://www.blackberry.net/go/mobile/profiles/uaprof/8310/4.2.2.rdf
BlackBerry8520/5.0.0.1007 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/373|http://www.blackberry.net/go/mobile/profiles/uaprof/8520_80211g/4.6.1.rdf
Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; ca) AppleWebKit/534.8+ (KHTML, like Gecko) Version/6.0.0.668 Mobile Safari/534.8+|http://www.blackberry.net/go/mobile/profiles/uaprof/9800_edge/6.0.0.rdf
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.13555/26.984; U; de) Presto/2.8.119 Version/10.54|
NOKIAN85/UC Browser7.7.1.88/28/351|http://nds1.nds.nokia.com/uaprof/NN85-1r100.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.2; ME860 Build/OLHKT_U4_0.50.0)|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.1-update1; nl-be; U20i Build/2.1.1.A.0.6) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.sonyericsson.com/UAprof/U20iR201.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.5; GT-I9100 Build/MIUI 1.8.5)|
Dalvik/1.4.0 (Linux; U; Android 2.3.7; Hero Build/GRH78)|http://www.htcmms.com.tw/Android/TMO/Hero/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[3309904256] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (Android; Opera Mini/5.1.22460/26.984; U; es) Presto/2.8.119 Version/10.54|
NokiaE52-1/071.004; Series60/3.2 Profile/MIDP-2.1 Configuration/CLDC-1.1 3gpp-gba|http://nds1.nds.nokia.com/uaprof/NE52-1r100.xml
BlackBerry9630/5.0.0.975 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/236|http://www.blackberry.net/go/mobile/profiles/uaprof/9630/4.7.1.rdf
Mozilla/5.0 (Linux; U; Android 2.2.1; es-es; bq Voltaire Build/MASTER) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Opera/9.80 (Android 2.3.5; Linux; Opera Mobi/ADR-1110071847; U; en-GB) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; it_IT) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.5;FBSS/2; FBCR/VodafoneIT;FBID/phone;FBLC/it_IT;FBSF/2.0]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/vodafoneUK;FBID/phone;FBLC/en_US;FBSF/2.0]|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.3.26549/26.984; U; es) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 4_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.1;FBBV/4010.0;FBDV/iPod4,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/4.1;FBSS/2; FBCR/;FBID/phone;FBLC/en_US;FBSF/2.0]|
BlackBerry9000/5.0.0.862 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/297|http://www.blackberry.net/go/mobile/profiles/uaprof/9000/4.6.0.rdf
Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.15231/26.984; U; tr) Presto/2.8.119 Version/10.54|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; HTC Sensation Z710e with Beats Audio Build/GRJ90)|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-gb; LG-P970/V10d Build/FRG83G) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 MMS/LG-Android-MMS-V1.0/1.2|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
NokiaE75-1/UC Browser7.9.0.102/28/355/UCWEB|http://nds1.nds.nokia.com/uaprof/NE75-1r100.xml
Mozilla/5.0 (Linux; U; Android 2.2; fr-fr; ViewPad 10s Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_5 like Mac OS X; pt_BR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad2,2;FBMD/iPad;FBSN/iPhone OS;FBSV/4.3.5;FBSS/1; FBCR/AT|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone4,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/Bell;FBID/phone;FBLC/en_US;FBSF/2.0]|
Dalvik/1.2.0 (Linux; U; Android 2.2.1; Livall Build/MASTER)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Mozilla/5.0 (Linux; U; Android 1.6; es-es; SonyEricssonX10a Build/R2CA016) AppleWebKit/528.5  (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1|http://wap.sonyericsson.com/UAprof/X10aR101.xml
Mozilla/5.0 (Linux; U; Android 2.1-update1; en-za; E10i Build/2.1.1.A.0.16) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|http://wap.sonyericsson.com/UAprof/E10iR201.xml
Mozilla/5.0 (Linux; U; Android 2.3; en-us; Nexus One Build/FRF91) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.3.4; de-de; SonyEricssonST17i Build/4.0.1.A.0.284) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad2,1;FBMD/iPad;FBSN/iPhone OS;FBSV/4.3.3;FBSS/1; FBCR/;FBID/tablet;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.2.2; fr-fr; LG-P350 Build/FRG83) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; NOKIA; Lumia 800)|http://device.sprintpcs.com/HTC/SPS511BK/latest
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone1,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.2.1;FBSS/1; FBCR/Telekom.de;FBID/phone;FBLC/de_DE;FBSF/1.0]|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; GT-S5830 Build/GINGERBREAD)|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/OrangeUK;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[7176681207] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.1-update1; es-es; Nvsbl Build/ECLAIR) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|http://wap1.huawei.com/uaprof/HuaweiU8230v100WCDMAEclair.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.12965/26.984; U; en) Presto/2.8.119 Version/10.54|
Dalvik/1.1.0 (Linux; U; Android 2.1-update1; Orange_Boston Build/ERE27)|http://wap1.huawei.com/uaprof/HuaweiU8230v100WCDMAEclair.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.1; GT-T959 Build/FROYO)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Mozilla/5.0 (Linux; U; Android 2.2.1; ar-qa; HTC Wildfire Build/FRG83D) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/Buzz/ua-profile.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.18975/26.984; U; id) Presto/2.8.119 Version/10.54|
NokiaE66/UC Browser7.9.0.102/28/354/UCWEB|http://nds1.nds.nokia.com/uaprof/NE66-1r100.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.2; G2 Build/FRG83G)|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (iPod touch; U; CPU iPhone OS 5_0 like Mac OS X; it_IT) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPod4,1;FBMD/iPod touch;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/;FBID/phone;FBLC/it_IT;FBSF/2.0]|
Opera/9.80 (Android 3.1; Linux; Opera Tablet/ADR-1110071847; U; en-GB) Presto/2.9.201 Version/11.50|http://wap.samsungmobile.com/uaprof/GT-P7500.xml
Mozilla/5.0 (Linux; U; Android 2.2.1; en-us; U8500 Build/HuaweiU8500) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Mozilla/5.0 (Linux; U; Android 2.2.1; ar-eg; Milestone Build/SHOLS_U2_05.27.2) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://uaprof.motorola.com/phoneconfig/motoa853/Profile/motoa853.rdf
Dalvik/1.2.0 (Linux; U; Android 2.2.2; U8520 Build/HuaweiU8520)|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
BlackBerry9000/5.0.0.771 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/121|http://www.blackberry.net/go/mobile/profiles/uaprof/9000/4.6.0.rdf
BlackBerry9700/5.0.0.586 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/258|http://www.blackberry.net/go/mobile/profiles/uaprof/9700_umts/5.0.0.rdf
Dalvik/1.4.0 (Linux; U; Android 2.3.7; Incredible S Build/GRI40)|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; ST17i Build/4.0.2.A.0.42)|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1107071606; U; hu) Presto/2.8.149 Version/11.10|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-au; LG-P500 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 MMS/LG-Android-MMS-V1.0/1.2|
Opera/9.80 (Android 2.1-update1; Linux; Opera Mobi/ADR-1110071847; U; pt) Presto/2.9.201 Version/11.50|http://wap1.huawei.com/uaprof/HuaweiU8230v100WCDMAEclair.xml
Mozilla/5.0 (Linux; U; Android 2.2; en-us; Nexus One Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/Three;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.3.4; ar-ae; GT-I9100G Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (iPad; U; CPU OS 4_3_3 like Mac OS X; he-il) AppleWebKit/533.17.9 (KHTML, like Gecko) Mobile/8J3|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.1.21051/26.984; U; ar) Presto/2.8.119 Version/10.54|
nokiae61i-1/UC Browser7.7.1.88/69/444 UNTRUSTED/1.0|http://nds1.nds.nokia.com/uaprof/NE61i-1r100.xml
Mozilla/5.0 (Linux; U; Android 2.3.5; en-za; GT-N7000 Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
